Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,distribution losses ,Asia & Oceania,0.000120152,0.000132667,0.000123374,0.000122509,0.000126765,0.000115324,0.000132844,0.000132467,0.000114424,0.000101091,0.000105173,8.74549E-05,5.04089E-05,4.63585E-05,4.49304E-05,3.82785E-05,3.30193E-05,2.97124E-05,2.62661E-05,2.45762E-05,9.12517E-05,9.16928E-05,9.02275E-05,0.000104033,9.74006E-05,9.46646E-05,0.000124321,0.000124618,0.000117127,0.000129475,0.000173174,0.000226422,0.000220903,0.000260766,0.000276744,0.000273583,0.000301864,0.000312622,0.000321421,0.000337133,0.000347379,0.000338431
Albania,distribution losses ,Europe,0.000293365,0.000307594,0.000298067,0.000280021,0.000284347,0.000256523,0.000270872,0.000251696,0.000261844,0.000290423,0.002308452,0.001614436,0.001483357,0.001618977,0.00176824,0.002053331,0.002480531,0.002477875,0.002601322,0.001707601,0.001513318,0.001385661,0.000900193,0.001450227,0.001277896,0.000396329,0.001547173,0.001237281,0.000702085,0.000735897,0.00063876,0.000603201,0.000612022,0.001039598,0.00059557,0.000655132,0.001016055,0.000648651,0.000580415,0.00054436,0.000483547,0.000507033
Algeria,distribution losses ,Africa,0.001415806,0.00182264,0.001971688,0.002432678,0.002930548,0.002941251,0.003099976,0.002866539,0.003231428,0.002917489,0.003165056,0.003314773,0.002342254,0.002963071,0.003083626,0.003003997,0.003277876,0.00371979,0.003736801,0.003649775,0.002996706,0.003181373,0.003016376,0.00291918,0.003231103,0.002824162,0.003912998,0.003944462,0.004267537,0.004625217,0.005178688,0.005547892,0.00605187,0.00586616,0.005855805,0.005867888,0.005465282,0.005525023,0.004973982,0.004980014,0.004655927,0.004451189
Angola,distribution losses ,Africa,0.000307942,0.000322879,0.000333243,0.000343025,0.000298564,0.000321849,0.000337754,0.000315397,0.000308764,0.000271857,0.000288728,0.000337288,0.000283846,0.000264123,0.000260007,0.000245536,0.000250889,9.78221E-05,0.000156618,0.000149695,0.000154033,0.000174583,0.000179067,0.000199744,0.000383109,0.000417787,0.000242426,0.000255764,0.000243625,0.000278961,0.000357171,0.000357006,0.000382206,0.000492794,0.00056839,0.000564986,0.000597078,0.000613742,0.000727144,0.000876249,0.000956712,0.000948475
Antarctica,distribution losses ,Central & South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83537E-08,8.70246E-08,8.30788E-08,8.19892E-08,1.64787E-07,1.59502E-07,1.56926E-07,1.91376E-08,1.86261E-08,1.8627E-08,3.66874E-08,3.58144E-08,0,0,0,0,0
Argentina,distribution losses ,Central & South America,0.009174498,0.009395959,0.009493725,0.010765039,0.011158832,0.010060162,0.01367066,0.012738618,0.011089775,0.011443186,0.012714959,0.012825795,0.011981447,0.012207381,0.011091074,0.010669584,0.010492639,0.010001668,0.009154795,0.009207002,0.00962742,0.009423818,0.010064536,0.009743777,0.010029017,0.010069794,0.00905988,0.010656042,0.009530657,0.010581678,0.009579805,0.010480971,0.010085538,0.011855784,0.009477431,0.009366817,0.010453721,0.011683931,0.01189055,0.010497428,0.010753208,0.011331545
Armenia,distribution losses ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,0.00265974,0.002337979,0.002150095,0.001974183,0.002018278,0.001064134,0.001438925,0.001108822,0.001103781,0.001101781,0.000981398,0.00086001,0.000620767,0.000631729,0.00048423,0.000460138,0.000522388,0.000496127,0.000415845,0.000506647,0.000536401,0.000505034,0.000494415,0.000425574,0.000361214,0.000339563,0.000306856,0.000275745,0.000292939,0.00028674
Australia,distribution losses ,Asia & Oceania,0.016701777,0.02138641,0.015514317,0.014800835,0.014519455,0.016787119,0.015555057,0.015960949,0.015133979,0.014722708,0.014755209,0.013101184,0.01117091,0.010426017,0.010425226,0.010349398,0.009899786,0.009895339,0.010866986,0.011923885,0.010935604,0.013314526,0.010453902,0.007802512,0.007560885,0.009688611,0.009758563,0.008674613,0.00867387,0.007078189,0.008250241,0.008315393,0.007063431,0.006380772,0.004923921,0.006135706,0.00723912,0.005713557,0.005698433,0.005514972,0.005793219,0.004719801
Austria,distribution losses ,Europe,0.004788596,0.005190895,0.004900525,0.004427825,0.00464196,0.004387977,0.004700125,0.004438862,0.004274263,0.003672057,0.004057238,0.003827653,0.003063432,0.00310198,0.002934913,0.002993204,0.002788987,0.002709246,0.002724496,0.002608085,0.002347724,0.002717774,0.002209881,0.002293592,0.002225279,0.002165927,0.002081752,0.002060947,0.002019276,0.002108096,0.00190884,0.001944791,0.001929202,0.001884521,0.001814738,0.001817072,0.001708349,0.001758327,0.001675397,0.001662791,0.001654886,0.00164218
Azerbaijan,distribution losses ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,0.002928868,0.003717289,0.002211499,0.002496735,0.002337903,0.002643748,0.001756239,0.002151284,0.002022138,0.001877868,0.002647137,0.002399012,0.00179347,0.002543955,0.002346556,0.002036617,0.00185237,0.002412952,0.00218176,0.002226667,0.001841588,0.001746065,0.001789791,0.001503659,0.001202342,0.001144248,0.001114827,0.001120088,0.00105873,8.12006E-05
Bangladesh,distribution losses ,Asia & Oceania,0.001514202,0.001518867,0.001606972,0.001568115,0.001953107,0.002369253,0.00211514,0.002824589,0.003582571,0.002680111,0.003552307,0.00372154,0.002492587,0.001752995,0.00169916,0.001615323,0.001575786,0.001526875,0.001620015,0.001763929,0.001764443,0.001770038,0.001646306,0.001575067,0.00132335,0.001240738,0.001105212,0.000950659,0.00251414,0.002480044,0.002463736,0.002537716,0.003165913,0.003741719,0.003629077,0.005615269,0.005382909,0.005801443,0.006412354,0.004797749,0.00488604,0.0047938
Belarus,distribution losses ,Eurasia,--,--,--,--,--,--,--,--,--,--,--,--,0.003285252,0.003958913,0.003681354,0.003270219,0.003228042,0.003233232,0.003096463,0.002734631,0.002489346,0.002534389,0.002363962,0.00239277,0.002323329,0.002293409,0.002387581,0.002209896,0.002175056,0.002052186,0.002149859,0.001912255,0.001862366,0.001778527,0.001696124,0.001528292,0.001471461,0.00145992,0.001423792,0.001364132,0.001418552,0.001388015
Belgium,distribution losses ,Europe,0.005023653,0.005032321,0.004954214,0.004686844,0.005111132,0.004826137,0.005124825,0.005037029,0.004917521,0.004409386,0.004931631,0.004427697,0.00371838,0.003593053,0.003425185,0.003303497,0.003294201,0.003139663,0.003131539,0.003183715,0.002766022,0.002850545,0.002617987,0.002605692,0.002435665,0.002433513,0.00246466,0.002357064,0.002354846,0.002317023,0.002363478,0.002221623,0.002249493,0.002105815,0.00201438,0.001999987,0.001985654,0.001956709,0.001899244,0.001806532,0.001791285,0.001813869
