Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,net generation,Africa,6.683,7.65,8.824,9.615,10.537,11.569,12.214,13.014,14.08,14.449,15.145,16.319,17.199,18.267,18.703,18.09,19.124,19.739,21.448,23.282,23.88952,25.03064,25.99154,27.80964,29.38706,31.9074,33.12352,34.9758,37.83582,36.206,42.9985,48.17578,53.9845,56.3134,60.39972,64.68244,66.75504,71.49546,72.10903,76.685,72.73591277,77.53072719
Algeria,net consumption,Africa,5.915,6.713,7.733,8.207,8.959,9.686,10.343,11.119,11.954,12.19,12.734,13.034,14.035,14.039,14.365,14.474,15.172,15.365,16.905,18.492,19.71552,20.64764,21.62354,23.61164,24.42506,27.5164,26.91052,28.3348,30.49982,28.315,33.8405,38.13478,42.8675,45.2014,49.20572,53.45544,55.82304,60.28346,62.11403,66.646,63.69490277,68.66337919
Algeria,net imports ,Africa,0.009,0.017,-0.026,-0.018,0.071,-0.037,-0.017,-0.05,0.009,-0.059,-0.098,-0.661,-0.936,-1.199,-1.124,-0.276,-0.137,-0.001,0.038,-0.06,-0.069,-0.046,-0.022,0.011,0.014,0.084,0.082,0.006,-0.049,-0.032,-0.067,-0.142,-0.049,-0.089,-0.191,-0.031,-0.25,-0.343,-0.091,-0.142,-0.061,-0.096598641
Algeria,distribution losses ,Africa,0.777,0.954,1.065,1.39,1.649,1.846,1.854,1.845,2.135,2.2,2.313,2.624,2.228,3.029,3.214,3.34,3.815,4.373,4.581,4.73,4.105,4.337,4.346,4.209,4.976,4.475,6.295,6.647,7.287,7.859,9.091,9.899,11.068,11.023,11.003,11.196,10.682,10.869,9.904,9.897,8.98001,8.770749362
Angola,net generation,Africa,0.905,0.906,0.995,1.028,1.028,1.028,1.088,1.097,1.097,1.104,1.169,1.166,1.283,1.332,1.342,1.347,1.377,1.331,1.52,1.3,1.40402,1.59074,1.71668,1.93776,2.18608,2.72998,3.24054,3.1488,4.06368,4.60554,5.31724,5.52336,6.03408,7.97606,9.21666,9.30914,10.203511,10.67604,12.83194,15.4,16.6,16.429392
Angola,net consumption,Africa,0.736,0.737,0.815,0.832,0.86,0.826,0.886,0.894,0.893,0.899,0.958,0.899,1.013,1.062,1.071,1.074,1.085,1.216,1.328,1.106,1.19302,1.35274,1.45868,1.64976,1.59608,2.06798,2.85054,2.7178,3.64768,4.13154,4.69024,4.88636,5.33508,7.05006,8.14866,8.23114,9.036511,9.468667,11.384079,13.658591,14.754764,14.56049071
Angola,net imports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,distribution losses ,Africa,0.169,0.169,0.18,0.196,0.168,0.202,0.202,0.203,0.204,0.205,0.211,0.267,0.27,0.27,0.271,0.273,0.292,0.115,0.192,0.194,0.211,0.238,0.258,0.288,0.59,0.662,0.39,0.431,0.416,0.474,0.627,0.637,0.699,0.926,1.068,1.078,1.167,1.207373,1.447861,1.741409,1.845236,1.868901294
Benin,net generation,Africa,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.019,0.022,0.023,0.024,0.048,0.029,0.0487,0.0517,0.0597,0.0677,0.07908,0.06216,0.05934,0.07532,0.0762,0.10064,0.142,0.20498,0.21344,0.12038,0.10816,0.09594,0.04612,0.08848,0.22666,0.31056,0.26004,0.3115,0.19028,0.2017,0.22608,0.24109728
Benin,net consumption,Africa,0.101,0.115,0.155,0.155,0.137,0.142,0.14,0.135,0.131,0.15,0.165,0.176,0.229,0.221,0.252,0.242,0.2787,0.2797,0.2707,0.3147,0.39008,0.39516,0.39834,0.48832,0.5402,0.58264,0.606,0.65898,0.73544,0.77838,0.90716,0.90394,0.93312,0.93648,0.93366,1.08156,1.06104,1.125821,1.187964,0.9297,0.52408,0.523382994
